Search Gene	Found FBGN	Found Gene	imaginal disc, larvae L3 wandering	central nervous system, larvae L3	central nervous system, pupae P8	head, virgin 1-day female	head, virgin 4-day female	head, virgin 20-day female	head, mated 1-day female	head, mated 4-day female	head, mated 20-day female	head, mated 1-day male	head, mated 4-day male	head, mated 20-day male	salivary gland, larvae L3 wandering	salivary gland, white prepupae	digestive system, larvae L3 wandering	digestive system, 1-day adult	digestive system, 4-day adult	digestive system, 20-day adult	fat body, larvae L3 wandering	fat body, white prepupae	fat body, pupae P8	carcass, larvae L3 wandering	carcass, 1-day adult	carcass, 4-day adult	carcass, 20-day adult	ovary, virgin 4-day female	ovary, mated 4-day female	testis, mated 4-day male	accessory gland, mated 4-day male
FBgn0011737	FBgn0011737	Wee1	38	12	19	5	8	9	9	7	7	10	15	18	2	5	3	3	4	3	1	8	16	6	3	3	4	29	19	52	14
FBgn0011740	FBgn0011740	alpha-Man-IIa	14	16	13	3	2	3	2	2	2	4	4	5	1	3	1	1	2	2	2	3	6	11	1	2	2	9	8	5	21
FBgn0011741	FBgn0011741	Arp6	11	12	5	3	2	5	1	2	2	5	4	7	7	4	6	4	3	5	1	3	11	9	3	3	4	12	14	3	3
FBgn0011742	FBgn0011742	Arp2	32	28	30	9	8	11	7	10	8	10	16	18	17	12	61	38	36	38	7	29	19	23	7	10	8	68	52	10	13
FBgn0011743	FBgn0011743	Arp53D	70	0	1	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	0	17	6	0	0	0	1	0	0	165	23
FBgn0011745	FBgn0011745	Arp1	50	54	39	24	19	29	22	25	21	31	37	46	27	66	64	57	40	43	8	26	37	50	21	18	20	56	36	46	29
FBgn0011746	FBgn0011746	ana	26	7	7	7	9	6	10	10	6	15	20	13	0	1	2	0	1	1	1	2	2	11	2	4	3	1	3	46	32
FBgn0011747	FBgn0011747	Ank	26	28	42	27	22	20	17	20	16	35	34	35	16	31	21	13	14	11	10	18	12	26	17	15	11	43	27	2	8
FBgn0011754	FBgn0011754	PhKgamma	58	51	34	54	55	31	51	35	29	64	57	64	6	17	24	52	68	69	16	25	29	37	56	41	36	52	78	45	37
FBgn0011758	FBgn0011758	B-H1	2	4	1	2	1	1	2	1	1	2	2	2	0	0	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0
FBgn0011761	FBgn0011761	dhd	2	0	1	1	6	0	8	0	1	1	0	3	0	0	0	19	86	33	0	1	0	1	21	66	32	1330	1756	5	1
FBgn0011762	FBgn0011762	DNApol-alpha50	4	4	0	0	0	1	0	0	1	0	1	1	1	0	2	1	1	1	0	1	1	3	1	1	1	27	17	0	0
FBgn0011763	FBgn0011763	Dp	31	46	18	8	12	12	9	14	10	17	19	24	4	12	12	13	15	14	4	10	14	29	10	14	11	76	74	4	12
FBgn0011766	FBgn0011766	E2f1	36	110	40	14	16	11	18	17	13	21	27	27	13	14	29	17	25	18	12	19	32	47	15	22	19	77	91	9	34
FBgn0011768	FBgn0011768	Fdh	55	23	10	19	10	37	12	13	23	13	20	32	14	7	30	34	26	31	31	19	10	39	21	23	34	73	48	38	28
FBgn0011769	FBgn0011769	Fdx1	11	3	4	2	3	3	4	3	2	4	6	9	1	1	4	4	5	4	2	1	1	5	3	4	4	7	8	15	5
FBgn0011770	FBgn0011770	Gip	13	7	6	26	21	36	17	25	26	28	38	41	6	4	25	87	51	54	10	9	15	14	23	22	24	40	36	13	14
FBgn0011771	FBgn0011771	Hem	11	18	18	3	3	5	3	4	4	5	6	8	3	11	11	4	5	6	2	9	3	13	3	3	3	18	13	1	5
FBgn0011785	FBgn0011785	BRWD3	21	32	16	6	6	7	5	6	6	9	9	10	1	4	6	4	6	6	3	7	10	17	5	6	6	36	34	6	6
FBgn0011787	FBgn0011787	mRpL12	151	69	64	28	24	26	26	29	26	36	41	54	7	9	30	57	58	52	9	20	66	42	28	40	37	213	158	112	60
FBgn0011802	FBgn0011802	Gem3	9	5	3	2	2	1	1	1	1	2	2	2	1	1	2	2	2	2	1	2	2	5	1	3	2	34	30	3	2
FBgn0011818	FBgn0011818	oaf	55	19	40	10	13	6	10	7	6	14	16	10	1	1	8	5	6	5	4	8	13	11	5	8	6	62	71	52	9
FBgn0011822	FBgn0011822	pcl	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	21	15	15	0	0	0	0	0	1	1	0	0	0	0
FBgn0011824	FBgn0011824	CG4038	65	51	12	14	21	15	22	36	16	6	22	21	3	6	21	21	61	35	7	11	21	52	19	41	23	106	112	9	49
FBgn0011826	FBgn0011826	Pp2B-14D	10	15	36	12	16	9	14	16	10	17	24	20	1	4	8	8	13	9	6	10	6	14	9	10	9	42	48	2	7
FBgn0011828	FBgn0011828	Pxn	1	10	88	14	11	9	11	12	10	18	19	17	0	2	2	5	3	2	1	5	49	9	8	5	2	1	0	2	5
FBgn0011829	FBgn0011829	Ret	0	1	2	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FBgn0011832	FBgn0011832	Ser12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0011834	FBgn0011834	Ser6	4	0	0	0	0	0	0	0	0	0	0	0	1	0	21	46	22	27	0	0	0	0	0	0	0	0	0	1	2
FBgn0011836	FBgn0011836	Taf2	28	34	14	6	10	5	9	7	4	7	11	14	2	3	6	5	9	6	9	8	30	22	5	8	6	31	65	24	14
FBgn0011837	FBgn0011837	Tis11	43	15	11	17	17	17	19	16	18	15	16	15	3	23	29	21	26	24	46	49	17	21	22	22	23	58	60	4	11
FBgn0012034	FBgn0012034	AcCoAS	2	6	14	105	132	307	104	235	213	126	209	299	1	1	11	76	61	79	82	7	4	9	100	110	172	21	16	6	26
FBgn0012036	FBgn0012036	Aldh	63	14	11	330	198	380	232	211	324	358	233	296	9	5	29	139	77	87	79	11	31	15	278	212	236	122	81	698	87
FBgn0012037	FBgn0012037	Ance	153	145	6	17	12	15	11	10	15	26	21	33	9	46	135	516	363	486	57	342	112	527	23	21	28	1	2	198	58
FBgn0012042	FBgn0012042	AttA	0	2	1	14	48	500	14	24	211	11	35	175	0	2	1	13	4	23	27	7	27	15	92	63	425	1	2	3	0
FBgn0012051	FBgn0012051	CalpA	11	6	11	15	10	15	7	9	10	13	15	20	1	1	3	4	4	3	2	4	8	12	8	8	8	8	6	4	3
FBgn0012058	FBgn0012058	Cdc27	45	28	16	9	8	8	9	8	7	13	14	12	2	7	7	5	9	7	5	13	14	14	7	8	7	45	41	69	19
FBgn0012344	FBgn0012344	Dh44	8	23	9	19	23	17	18	23	13	26	33	39	0	0	1	1	0	0	0	1	2	3	1	1	1	0	0	6	2
FBgn0013263	FBgn0013263	Trl	72	140	45	32	36	24	30	41	23	44	48	50	6	16	17	14	19	14	12	25	49	61	22	29	24	49	63	30	28
FBgn0013269	FBgn0013269	FK506-bp1	342	497	103	66	89	31	65	161	32	36	85	98	18	27	147	84	208	116	42	94	111	345	89	244	81	845	1979	86	120
FBgn0013272	FBgn0013272	Gp150	236	100	63	212	188	155	198	237	134	245	281	291	96	409	1021	321	358	398	32	98	117	349	237	254	256	43	58	38	66
FBgn0013275	FBgn0013275	Hsp70Aa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0013276	FBgn0013276	Hsp70Ab	4	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	2	1	0	2	1	2	0	0	0	0
FBgn0013277	FBgn0013277	Hsp70Ba	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0013278	FBgn0013278	Hsp70Bb	34	0	5	1	1	0	0	0	0	3	1	1	1	2	1	3	13	2	7	5	3	1	12	9	2	0	1	1	1
FBgn0013279	FBgn0013279	Hsp70Bc	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	3	1	1	0	0	0	0
FBgn0013303	FBgn0013303	Nca	28	26	73	60	47	24	44	34	22	58	67	48	16	8	14	11	8	5	6	14	18	20	13	13	11	46	29	12	14
FBgn0013305	FBgn0013305	Nmda1	27	19	22	37	41	61	31	37	42	49	62	92	45	53	40	42	25	41	12	23	21	19	21	21	32	20	14	38	62
FBgn0013307	FBgn0013307	Odc1	0	0	0	19	57	109	33	47	73	23	16	26	1	3	2	5	4	4	23	27	0	2	39	45	66	0	0	7	13
FBgn0013323	FBgn0013323	Ptth	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	8	0	0	0	0	0	0	2	1
FBgn0013325	FBgn0013325	RpL11	742	422	174	180	279	664	147	264	469	163	179	326	271	628	412	417	248	387	238	245	406	445	237	289	397	526	278	292	421
FBgn0013334	FBgn0013334	Sap47	23	86	206	247	186	74	216	166	78	308	351	171	6	10	20	14	16	12	7	12	36	25	36	34	23	14	12	11	36
FBgn0013342	FBgn0013342	nSyb	15	226	677	560	552	255	515	413	257	809	822	623	0	5	1	2	3	2	0	6	98	32	47	44	31	0	1	6	13
FBgn0013343	FBgn0013343	Syx1A	23	46	133	61	41	19	51	37	22	97	75	47	4	11	30	20	20	16	7	10	37	25	22	17	15	35	37	5	15
FBgn0013347	FBgn0013347	TfIIA-S	249	270	129	85	92	84	91	88	87	127	120	148	145	218	180	85	97	75	64	119	242	192	77	78	99	219	191	229	196
FBgn0013348	FBgn0013348	TpnC41C	0	0	11	21	6	3	11	5	2	12	7	6	0	0	0	1	1	0	0	0	8	1	122	42	8	0	0	1	0
FBgn0013433	FBgn0013433	beat-Ia	1	13	25	4	3	2	3	3	2	6	6	6	0	0	0	0	0	0	0	1	5	1	1	1	1	0	0	0	0
FBgn0013435	FBgn0013435	Cdc2rk	12	7	5	3	2	5	3	2	3	3	5	6	2	4	3	2	2	2	1	4	18	6	2	2	2	12	6	11	5
FBgn0013467	FBgn0013467	igl	2	17	118	83	63	30	69	47	29	103	93	53	0	0	0	0	0	0	0	1	13	3	6	6	4	0	0	1	2
FBgn0013469	FBgn0013469	klu	18	14	2	1	1	2	1	1	2	2	2	2	0	1	2	0	1	2	2	3	2	10	2	3	4	0	0	1	1
FBgn0013531	FBgn0013531	MED20	24	19	7	2	5	2	3	3	2	3	4	7	2	5	9	5	5	6	2	5	8	11	3	4	4	19	24	15	9
FBgn0013548	FBgn0013548	l(2)dtl	7	7	2	1	1	2	1	1	2	1	1	3	0	2	1	1	3	3	0	1	2	4	1	3	3	60	50	1	1
FBgn0013563	FBgn0013563	Pex1	3	2	2	3	2	2	3	2	2	3	2	3	1	1	7	6	5	4	3	3	0	3	3	3	3	12	8	1	1
FBgn0013576	FBgn0013576	mtd	14	20	18	44	39	27	38	30	26	63	56	47	8	98	19	20	19	22	1	13	19	13	17	19	20	39	27	7	27
FBgn0013717	FBgn0013717	not	13	18	12	2	3	2	2	2	1	5	4	4	4	13	6	2	3	2	2	5	5	12	2	2	2	18	15	7	3
FBgn0013718	FBgn0013718	nuf	19	14	28	27	30	21	24	20	18	36	32	40	11	134	29	9	10	9	6	13	17	25	28	22	23	45	39	10	11
FBgn0013720	FBgn0013720	pck	41	8	8	6	7	9	2	4	7	6	7	9	13	21	7	3	4	4	2	5	27	21	5	6	8	21	16	11	24
FBgn0013725	FBgn0013725	phyl	6	29	32	15	16	11	13	13	9	24	27	20	0	0	0	0	0	0	0	2	4	6	2	1	2	0	0	2	1
FBgn0013726	FBgn0013726	pnut	62	151	156	28	27	16	29	28	17	40	48	47	15	56	85	26	33	35	8	29	82	96	15	19	14	126	142	21	15
FBgn0013732	FBgn0013732	sced	13	15	34	5	5	3	6	4	4	9	8	7	0	2	1	1	3	2	0	3	9	9	3	5	4	84	88	2	2
FBgn0013733	FBgn0013733	shot	13	20	19	24	19	20	20	16	18	31	24	25	4	45	8	9	10	11	6	4	8	26	40	28	23	5	5	2	10
FBgn0013746	FBgn0013746	alien	29	22	16	14	11	10	10	10	10	13	15	25	7	9	19	13	12	10	6	12	9	22	8	8	9	36	36	16	13
FBgn0013749	FBgn0013749	Arf102F	122	66	63	68	53	48	52	40	43	53	67	56	130	180	85	137	105	65	29	63	75	49	49	62	53	188	126	122	224
FBgn0013750	FBgn0013750	Arf51F	18	22	19	14	13	13	13	16	10	18	24	24	6	10	22	19	18	14	7	19	15	17	10	15	11	36	31	4	7
FBgn0013751	FBgn0013751	Awh	4	4	5	3	3	1	2	1	1	2	3	3	3	10	0	1	1	0	0	1	9	4	1	2	1	0	0	0	10
FBgn0013753	FBgn0013753	Bgb	51	112	97	21	22	20	16	18	15	34	35	34	1	3	5	3	4	5	2	11	38	42	6	7	9	85	52	18	5
FBgn0013755	FBgn0013755	Bro	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBgn0013756	FBgn0013756	Mtor	46	75	35	10	11	8	11	10	8	12	14	15	3	9	14	8	15	11	9	22	17	47	8	13	9	118	121	7	20
FBgn0013759	FBgn0013759	CASK	12	53	97	59	54	30	59	43	26	95	79	75	2	3	14	11	12	13	3	6	21	17	9	11	10	31	43	2	7
FBgn0013762	FBgn0013762	Cdk5	15	18	13	7	8	9	7	8	7	9	10	14	10	9	13	10	7	11	5	10	9	10	6	6	7	23	19	30	8
FBgn0013763	FBgn0013763	CG5210	12	32	3	178	215	628	144	279	378	191	272	459	13	3	20	51	39	41	724	18	39	47	196	203	323	119	92	27	17
FBgn0013764	FBgn0013764	Chi	60	55	29	15	16	17	11	13	13	18	23	27	3	10	13	13	12	17	12	16	24	24	9	12	13	57	53	50	22
FBgn0013765	FBgn0013765	cnn	46	36	26	15	14	12	11	12	10	18	20	20	1	5	9	2	4	3	4	39	23	15	15	15	11	64	50	60	16
FBgn0013767	FBgn0013767	Crz	2	34	8	13	30	46	15	33	36	27	64	107	0	0	0	0	0	0	0	0	8	6	0	0	1	0	0	1	1
FBgn0013770	FBgn0013770	Cp1	129	72	63	140	136	244	148	168	167	209	160	261	467	4668	1455	234	130	255	35	148	242	139	226	195	262	272	210	221	212
FBgn0013771	FBgn0013771	Cyp6a9	6	0	2	22	15	21	12	13	16	21	20	33	1	0	33	54	29	37	9	0	3	1	14	14	18	6	5	6	14
FBgn0013773	FBgn0013773	Cyp6a22	0	0	0	4	5	14	4	5	9	6	6	10	0	0	0	6	4	4	5	1	0	0	6	6	9	39	24	1	2
FBgn0013799	FBgn0013799	Deaf1	38	72	62	27	27	19	23	18	16	38	34	33	5	18	16	9	12	12	10	17	39	31	9	13	15	52	63	11	19
FBgn0013810	FBgn0013810	Dhc36C	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	8	3
FBgn0013811	FBgn0013811	Dhc62B	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	3
FBgn0013812	FBgn0013812	Dhc93AB	0	0	0	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
FBgn0013813	FBgn0013813	Dhc98D	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	1	10	5
FBgn0013949	FBgn0013949	Elal	0	1	0	14	20	52	15	39	41	10	14	22	1	0	1	3	2	1	30	5	8	2	16	22	29	0	0	1	1
FBgn0013953	FBgn0013953	Esp	1	0	0	1	1	1	2	1	1	1	1	2	0	1	3	1	1	2	0	0	0	5	3	4	4	4	4	2	4
FBgn0013954	FBgn0013954	FK506-bp2	1065	1296	756	399	386	308	412	394	331	374	510	672	120	168	542	660	649	568	441	411	801	739	363	412	406	979	913	1012	628
FBgn0013972	FBgn0013972	Gycalpha99B	1	17	37	39	35	32	31	33	25	75	66	60	0	0	0	0	0	1	0	0	5	3	3	4	3	0	0	0	1
FBgn0013973	FBgn0013973	Gycbeta100B	1	7	20	17	19	12	17	13	10	26	26	26	0	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	1
FBgn0013981	FBgn0013981	His4r	249	272	280	93	151	151	90	121	110	142	170	211	289	157	188	150	112	109	31	89	192	220	78	100	123	146	106	163	225
FBgn0013983	FBgn0013983	imd	14	10	9	10	12	13	9	14	13	12	15	21	14	43	19	13	11	10	9	41	13	15	11	11	14	5	5	20	15
FBgn0013987	FBgn0013987	MAPk-Ak2	50	64	45	49	41	33	44	44	28	54	58	71	56	96	118	73	75	85	28	50	38	68	42	42	42	89	112	16	48
FBgn0013995	FBgn0013995	Calx	8	2	29	20	13	10	14	12	8	26	22	15	0	0	1	8	10	8	0	2	3	1	9	7	3	16	13	28	7
FBgn0013997	FBgn0013997	Nrx-IV	37	38	26	8	6	7	6	6	6	10	11	12	6	8	7	2	3	3	3	12	18	27	4	4	4	12	8	6	9
FBgn0014006	FBgn0014006	Ask1	14	7	5	6	7	8	7	6	6	7	7	11	2	6	7	6	6	6	2	8	8	11	8	8	8	25	18	6	6
FBgn0014007	FBgn0014007	Ptp69D	29	48	40	6	6	6	6	7	7	8	10	13	2	7	10	5	8	7	3	13	10	18	6	8	7	71	48	4	7
FBgn0014009	FBgn0014009	Rab2	30	52	57	32	29	28	21	27	24	41	41	52	18	84	97	34	29	33	17	35	35	43	25	24	26	36	29	13	28
FBgn0014010	FBgn0014010	Rab5	66	123	97	92	108	61	91	90	64	110	144	136	98	400	361	108	101	98	56	122	112	101	56	62	59	76	84	25	59
FBgn0014011	FBgn0014011	Rac2	55	50	40	42	33	28	39	22	22	48	30	35	35	122	91	60	58	49	12	43	59	48	55	47	45	61	58	6	33
FBgn0014018	FBgn0014018	Rel	16	11	5	27	29	65	27	53	45	34	47	74	20	95	43	44	45	46	52	73	24	45	46	44	73	19	20	5	27
FBgn0014019	FBgn0014019	Rh5	2	0	0	49	61	100	49	69	59	76	102	112	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	9	1
FBgn0014020	FBgn0014020	Rho1	276	780	603	392	563	134	582	414	219	418	509	463	538	755	944	411	604	454	695	523	632	490	377	423	404	233	729	113	531
FBgn0014022	FBgn0014022	Rlb1	17	28	15	13	15	6	15	9	5	11	12	9	3	5	9	7	11	5	3	6	9	15	8	13	8	39	49	5	11
FBgn0014023	FBgn0014023	mRpL47	17	17	13	12	8	8	9	10	5	11	12	18	2	4	9	14	12	9	4	6	11	12	8	11	7	25	23	27	12
FBgn0014026	FBgn0014026	RpL7A	1396	1109	420	600	915	1175	518	628	870	619	544	648	670	1325	876	714	591	729	693	479	926	1182	566	657	944	1048	879	510	1082
FBgn0014028	FBgn0014028	SdhB	75	85	94	220	204	203	196	178	163	285	259	338	19	46	102	224	144	188	57	43	82	80	681	555	459	106	84	45	121
FBgn0014029	FBgn0014029	Sep2	47	80	48	14	10	12	10	11	10	20	17	21	117	87	68	16	16	21	7	25	55	59	8	8	11	42	36	26	21
FBgn0014031	FBgn0014031	Spat	1	0	1	18	38	66	23	30	52	19	14	33	1	0	15	16	9	11	71	2	93	1	31	28	44	0	0	5	9
FBgn0014032	FBgn0014032	Sptr	7	3	1	7	6	7	3	4	4	7	5	5	2	2	2	5	4	4	0	1	1	9	5	5	4	18	14	1	5
FBgn0014033	FBgn0014033	Sr-CI	0	3	1	22	27	8	21	24	12	15	28	19	2	1	3	3	1	0	1	2	23	4	14	13	4	0	0	1	1
FBgn0014037	FBgn0014037	Su(Tpl)	51	31	23	23	22	16	23	30	16	31	39	46	9	53	28	18	27	24	19	29	16	37	23	25	22	67	76	28	27
FBgn0014073	FBgn0014073	Tie	6	2	15	21	17	11	16	11	10	26	23	27	9	13	1	4	7	7	0	1	14	10	14	14	15	3	8	7	74
FBgn0014075	FBgn0014075	Ugt	24	19	16	10	7	12	7	7	10	7	12	14	4	8	8	7	8	7	5	8	4	21	7	9	8	34	24	6	37
FBgn0014076	FBgn0014076	Vm32E	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	38	23	0	0	0	0	24	40	26	160	233	0	0
FBgn0014092	FBgn0014092	CG4278	16	11	7	5	2	5	4	3	4	4	5	5	4	2	8	5	6	4	1	5	5	11	3	5	4	24	18	9	8
FBgn0014127	FBgn0014127	barr	38	19	3	2	1	2	1	1	2	1	2	3	0	2	3	2	2	2	0	7	6	11	1	3	3	45	35	25	8
FBgn0014133	FBgn0014133	bif	30	57	33	39	38	21	39	29	20	42	40	29	1	7	55	20	24	28	4	25	25	22	6	10	8	102	109	7	19
FBgn0014135	FBgn0014135	bnl	3	1	7	4	3	2	3	2	2	4	4	4	0	0	3	1	2	4	1	1	2	4	3	4	3	0	0	1	1
FBgn0014141	FBgn0014141	cher	24	11	5	10	11	11	10	9	9	15	9	12	4	1	21	9	7	11	6	2	12	167	32	23	18	23	19	2	33
FBgn0014143	FBgn0014143	croc	2	2	2	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	3	0
FBgn0014163	FBgn0014163	fax	740	2307	3455	318	209	60	276	178	107	273	249	169	46	456	347	21	38	13	65	951	1432	694	111	88	58	206	330	92	102
FBgn0014179	FBgn0014179	gcm	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
FBgn0014184	FBgn0014184	Oda	183	174	251	271	354	382	256	306	291	398	487	666	126	264	527	809	442	479	121	193	206	254	275	317	339	274	166	193	530
FBgn0014189	FBgn0014189	Hel25E	137	160	49	20	23	27	14	19	20	17	27	43	15	19	34	24	30	31	14	33	41	106	14	28	22	246	170	25	27
FBgn0014269	FBgn0014269	prod	23	37	18	9	8	8	9	9	7	14	16	19	5	11	13	8	8	9	4	11	16	22	6	8	8	45	42	18	12
FBgn0014340	FBgn0014340	mof	8	9	2	1	1	2	2	1	2	3	3	3	0	0	1	2	2	2	1	1	2	5	1	2	2	13	15	4	4
FBgn0014342	FBgn0014342	mia	18	3	1	1	1	1	1	1	1	1	2	3	1	1	2	4	3	4	0	3	5	2	1	1	1	3	2	16	6
FBgn0014343	FBgn0014343	mirr	53	30	14	6	7	4	7	6	5	11	10	9	0	1	11	3	4	3	11	11	13	24	7	9	9	2	2	1	2
FBgn0014366	FBgn0014366	noi	34	31	14	5	6	7	7	6	6	9	8	11	1	2	8	7	8	8	3	6	10	23	5	7	6	39	32	28	13
FBgn0014368	FBgn0014368	nol	5	10	2	3	3	2	1	2	3	2	5	2	152	9	1	0	0	0	0	0	1	15	0	0	1	0	0	1	2
FBgn0014380	FBgn0014380	RhoL	13	16	9	13	6	9	6	7	6	12	10	16	61	121	94	68	63	65	1	24	102	20	8	8	10	3	3	8	24
FBgn0014388	FBgn0014388	sty	22	28	33	13	15	11	15	14	12	18	21	18	1	4	22	9	13	12	8	8	27	16	13	16	14	2	2	2	5
FBgn0014396	FBgn0014396	tim	0	0	5	18	31	35	33	61	18	68	131	64	0	0	0	24	23	25	3	0	3	1	10	9	11	5	4	2	20
FBgn0014411	FBgn0014411	Vps26	33	37	29	21	19	16	19	18	16	24	27	28	13	19	30	18	20	18	16	27	24	34	17	19	19	60	60	9	20
FBgn0014417	FBgn0014417	CG13397	1	6	0	5	5	7	4	3	5	5	4	5	1	1	1	0	1	1	15	1	3	3	3	3	4	21	16	1	1
FBgn0014427	FBgn0014427	CG11899	24	16	7	32	20	74	24	39	49	25	28	54	5	43	27	32	13	17	12	226	56	37	25	24	39	37	22	19	4
FBgn0014454	FBgn0014454	Acp1	0	0	1	1404	4	0	513	1	0	973	2	0	0	0	0	5	1	0	0	0	1	1	179	36	0	0	0	0	0
FBgn0014455	FBgn0014455	Ahcy13	40	30	9	22	17	28	13	23	27	17	20	28	3	4	17	35	26	29	73	17	27	25	22	36	38	96	82	25	24
FBgn0014464	FBgn0014464	Cp7Fa	0	0	0	0	1	2	0	1	1	0	1	2	0	0	0	11	10	7	0	0	0	0	3	21	11	18	89	0	0
FBgn0014465	FBgn0014465	Cp7Fb	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	4	8	4	0	0	0	0	10	8	9	44	83	0	0
FBgn0014466	FBgn0014466	Cp7Fc	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	6	15	7	0	0	1	0	19	12	13	50	298	0	0
FBgn0014469	FBgn0014469	Cyp4e2	10	4	2	45	34	69	34	28	49	54	54	98	24	25	67	78	56	61	134	110	36	16	33	32	51	48	39	8	37
FBgn0014848	FBgn0014848	Eig71Eh	28	0	0	0	0	0	0	0	0	0	0	0	1	616	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
FBgn0014849	FBgn0014849	Eig71Ei	7	0	0	0	0	0	0	0	0	0	0	0	1	94	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FBgn0014857	FBgn0014857	His3.3A	154	141	26	21	22	37	16	17	26	29	28	41	23	24	60	52	42	57	10	21	52	51	19	20	34	56	43	109	55
FBgn0014859	FBgn0014859	Hr38	0	0	1	3	2	3	2	7	3	4	6	4	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	0	7
FBgn0014861	FBgn0014861	Mcm2	18	19	1	1	0	0	0	0	0	0	0	1	0	0	2	2	3	3	0	2	1	12	1	3	3	77	58	3	1
FBgn0014863	FBgn0014863	Mlp84B	2	6	12	128	70	41	113	61	36	91	44	29	0	0	5	22	23	13	0	0	7	152	285	229	121	1	1	10	26
FBgn0014868	FBgn0014868	Ost48	124	78	46	26	15	27	12	11	22	16	16	25	37	21	38	38	31	42	35	23	31	67	19	22	28	59	40	80	183
FBgn0014869	FBgn0014869	Pglym78	47	51	42	200	113	118	140	79	90	217	131	149	33	15	28	108	65	80	54	36	31	92	475	146	105	150	107	22	51
FBgn0014870	FBgn0014870	Psi	36	40	25	8	9	8	7	10	7	15	14	13	1	3	4	3	6	5	2	9	10	23	4	5	5	18	15	11	10
FBgn0014877	FBgn0014877	Roe1	130	25	21	32	24	19	22	18	21	30	21	18	6	8	22	29	31	18	10	34	52	24	23	30	33	137	100	426	100
FBgn0014879	FBgn0014879	Set	178	479	119	30	22	18	24	40	18	29	52	61	27	37	56	35	67	37	22	64	103	204	28	49	28	291	421	54	67
FBgn0014903	FBgn0014903	CG14630	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	4	2	2	1	0	0	0	1	1	2	0	0	0	0
FBgn0014906	FBgn0014906	Hydr2	43	20	40	18	14	24	13	20	17	22	38	41	16	16	19	34	38	45	32	27	38	11	10	13	12	58	46	74	48
FBgn0014930	FBgn0014930	CG2846	8	6	6	13	7	11	9	10	10	15	14	17	5	1	5	14	12	14	7	2	6	7	5	7	7	10	9	5	22
FBgn0014931	FBgn0014931	CG2678	1	1	0	1	1	1	1	1	1	1	1	2	0	0	1	1	1	1	2	4	2	0	1	2	1	13	14	0	1
FBgn0014949	FBgn0014949	btn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0015000	FBgn0015000	betaggt-I	9	9	4	6	2	5	3	3	3	6	5	8	6	13	20	18	16	23	2	6	3	8	5	5	5	27	15	7	31
FBgn0015001	FBgn0015001	iotaTry	6	0	0	0	0	0	0	0	0	0	0	0	0	0	29	63	32	35	1	0	0	0	0	0	1	0	0	5	3
FBgn0015008	FBgn0015008	Actn3	31	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	7	2	0	0	0	1	0	0	25	12
FBgn0015010	FBgn0015010	Ag5r	14	4	1	2	2	1	1	1	1	2	0	0	57	2141	193	80	66	112	0	17	10	7	66	74	103	0	0	2	1
FBgn0015011	FBgn0015011	Ahcy89E	10	1	0	2	4	2	2	2	2	4	5	8	4	2	53	11	7	9	6	37	6	27	3	2	2	0	0	0	3
